,time,latitude,longitude,depth,mag,id,updated,place,type,horizontalError,depthError,magError,state
140,2021-01-14T23:07:18.790Z,37.4916667,-118.8063333,5.69,1.03,nc73511000,2021-01-15T02:41:03.927Z,"14km SW of Toms Place, CA",earthquake,0.29,1.17,0.127, CA
148,2021-01-15T00:17:14.410Z,33.6965,-116.7265,17.96,0.89,ci39757648,2021-01-15T01:59:24.820Z,"5km S of Idyllwild, CA",earthquake,0.22,0.32,0.12, CA
149,2021-01-15T00:17:14.500Z,33.695666700000004,-116.7296667,17.86,0.92,ci39757648,2021-01-15T00:21:01.687Z,"5km SSW of Idyllwild, CA",earthquake,0.39,0.58,0.142, CA
151,2021-01-15T00:28:30.460Z,34.8293333,-118.9785,9.67,1.52,ci39757672,2021-01-15T02:02:09.432Z,"3km WNW of Frazier Park, CA",earthquake,0.28,0.43,0.142, CA
152,2021-01-15T00:28:30.540Z,34.8288333,-118.9776667,8.85,1.58,ci39757672,2021-01-15T00:32:18.836Z,"3km WNW of Frazier Park, CA",earthquake,0.45,0.87,0.15, CA
154,2021-01-15T00:35:32.020Z,37.38,-118.7981667,10.78,1.97,nc73511015,2021-01-15T18:24:04.392Z,"18km WSW of Round Valley, CA",earthquake,0.25,1.55,0.232, CA
155,2021-01-15T00:35:32.020Z,37.3796654,-118.7993317,10.8,1.89,nc73511015,2021-01-15T00:37:09.526Z,"18km WSW of Round Valley, CA",earthquake,0.32,1.86,0.16, CA
156,2021-01-15T00:37:35.140Z,37.384,-118.8,5.7,0.86,nc73511030,2021-01-15T02:19:04.804Z,"18km W of Round Valley, CA",earthquake,0.3,3.57,0.136, CA
157,2021-01-15T00:39:17.240Z,37.3968333,-118.8203333,4.53,1.03,nc73511035,2021-01-15T17:09:03.902Z,"20km W of Round Valley, CA",earthquake,0.45,31.61,0.196, CA
158,2021-01-15T00:41:55.390Z,38.8125,-122.8263321,1.92,1.32,nc73511040,2021-01-15T00:45:17.168Z,"7km WNW of The Geysers, CA",earthquake,0.18,0.27,0.18, CA
161,2021-01-15T01:00:52.120Z,38.8288345,-122.8014984,-0.37,0.56,nc73511045,2021-01-15T01:02:28.015Z,"7km W of Cobb, CA",earthquake,0.35,1.21,, CA
164,2021-01-15T01:22:31.160Z,35.6723333,-117.5225,1.85,1.4,ci39757704,2021-01-15T01:26:11.535Z,"15km ENE of Ridgecrest, CA",earthquake,0.29,0.79,0.091, CA
165,2021-01-15T01:38:17.170Z,38.7583351,-122.7228317,2.91,0.55,nc73511050,2021-01-15T01:39:53.468Z,"3km SW of Anderson Springs, CA",earthquake,0.58,0.88,0.05, CA
169,2021-01-15T02:04:36.490Z,34.0045,-117.173,14.28,0.84,ci39757720,2021-01-15T02:08:26.028Z,"6km S of Redlands, CA",earthquake,0.49,0.83,0.108, CA
170,2021-01-15T02:04:36.520Z,34.003,-117.17033329999998,13.64,0.81,ci39757720,2021-01-15T15:50:53.543Z,"6km S of Redlands, CA",earthquake,0.16,0.32,0.08199999999999999, CA
